"","ID","Site","Lat","Long","Mean_T","Mean_precip","AGB","L_AGB","T_AGB","Age","A_L_Ratio","A_T_Ratio","Ref"
"706","706","262",51.07,121.27,-6.6,504,44.3,61.3,NA,114,0.72,NA,"Our work"
"707","707","133",42.47,127.63,1.7,817,131,149,NA,250,0.88,NA,"Our work"
"708","708","285",52.47,122.53,-4.8,468,28.1,38.8,NA,125,0.72,NA,"Our work"
"709","709","209",11.2,78.3,28.2,1440,130.6,154,NA,NA,0.85,NA,"Ramachandran et al., 2007"
"711","711","28",29.78,78.63,20.4,950,71.8,83,NA,NA,0.86,NA,"Sharma et al., 2010"
"712","712","32",30.28,79.98,3.2,946,69.4,80,NA,NA,0.86,NA,"Sharma et al., 2010"
"713","713","35",29.8,78.8,17.9,1300,217.2,245,NA,NA,0.89,NA,"Sharma et al., 2010"
"714","714","50",30.15,78.8,17.9,1450,79.7,92,NA,NA,0.87,NA,"Sharma et al., 2010"
"715","715","84",30.1,78.96,17.9,2350,112.1,128,NA,NA,0.87,NA,"Sharma et al., 2010"
"716","716","115",30.13,79.6,16.3,1475,117.6,135,NA,NA,0.87,NA,"Sharma et al., 2010"
"717","717","115",30.13,79.6,16.3,1825,152.7,174,NA,NA,0.88,NA,"Sharma et al., 2010"
"718","718","116",30.25,78.78,17.9,1870,57.2,67,NA,NA,0.86,NA,"Sharma et al., 2010"
"719","719","126",29.8,78.65,20.4,1757,63.1,73,NA,NA,0.86,NA,"Sharma et al., 2010"
"720","720","148",29.78,78.63,20.4,1300,64.3,75,NA,NA,0.86,NA,"Sharma et al., 2010"
"721","721","183",30.1,78.96,17.9,1125,135.8,155,NA,NA,0.88,NA,"Sharma et al., 2010"
"722","722","194",28.49,78.76,24.9,2080,103.8,119,NA,NA,0.87,NA,"Sharma et al., 2010"
"723","723","195",30.08,78.3,20.4,1549,95.8,110,NA,NA,0.87,NA,"Sharma et al., 2010"
