Number,Biome,GEZ_TERM,Region,Site,Species/forest type,Latitude,Longitude,Temp,Precip,AGB,Age,Reference 1,Method used to determine tree age,FullBibEntry
63,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,47,-121.88,8.1,2112,349.2,550,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-176"
64,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,46.82,-121.55,5.4,2249,379.6,1000,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-175"
65,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,46.77,-121.74,4.1,2812,342.4,300,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-174"
66,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,46.78,-121.78,6,2658,487.9,750,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-173"
67,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,46.75,-121.8,6.1,2421,346.9,700,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-172"
68,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,46.74,-121.89,8.8,2166,378.7,750,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-171"
69,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,46.83,-121.55,6.6,2257,196,1000,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-170"
70,Temperate,Temperate mountain system,North America,"WACASC,Mt. Rainier NP",,46.92,-121.54,7.3,2076,265.1,500,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-169"
71,Temperate,Temperate mountain system,North America,"WACASC,Wind River",,45.83,-121.97,7.8,2496,542.9,470,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-168"
72,Temperate,Temperate mountain system,North America,"WACOAST,Olympic Peninsula",,47.78,-123.91,8.2,3669,406.7,280,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-167"
73,Temperate,Temperate mountain system,North America,"WACOAST,Olympic Peninsula",,47.78,-123.91,8.2,3669,458.1,280,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-166"
74,Temperate,Temperate mountain system,North America,"WACOAST,Olympic Peninsula",,47.43,-123.87,8.9,2893,331.9,230,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-165"
75,Temperate,Temperate mountain system,North America,"WACOAST,Olympic Peninsula",,47.43,-123.87,8.9,2899,313.5,230,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-164"
76,Temperate,Temperate mountain system,North America,"WACOAST,Olympic Peninsula",,47.78,-123.91,8.2,3669,278,280,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-163"
77,Temperate,Temperate mountain system,North America,"WACOAST,Olympic Peninsula",,47.78,-123.91,8.2,3669,293.4,280,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-162"
78,Temperate,Temperate mountain system,North America,"WACOAST,Olympic Peninsula",,47.83,-123.99,8.9,3026,368.2,230,"Hudiburget al., 2009",Tree rings,"Hudiburg, T., Law, B., Turner, D.P., Campbell, J., Donato, D. & Duane, M. (2009) Carbon dynamics of Oregon and Northern California forests and potential land-based carbon storage. Ecology Applications, 19, 163-161"
79,Polar,Polar,Asia,"Chersky,the lower delta of Kolyma River?eastern Siberia",L. cajanderi,69,160,-12.7,310,8.2,155,"Kajimoto et al., 2006",Tree rings,"Kajimoto, T., Matsuura, Y., Osawa, A., Abaimov, A.P., Zyryanova, O.A., Isaev, A.P., Yefremov, D.P., Mori, S. & Koike, T. (2006) Size–mass allometry and biomass allocation of two larch species growing on the continuous permafrost region in Siberia. Forest Ecology and Management, 222, 314-325."
